City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Tutoia,BR,80.08,overcast clouds,-2.7619,-42.2744,Pousada Guará's
272,Kalmunai,LK,75.04,broken clouds,7.4167,81.8167,VS Villa
275,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
277,Makakilo City,US,80.6,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
281,Cantanhede,BR,75.13,overcast clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
287,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
292,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Neiafu,TO,77.0,light rain,-18.65,-173.9833,Mystic Sands
296,Vanimo,PG,80.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
298,Alice Springs,AU,88.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
300,Cayenne,GF,77.0,light rain,4.9333,-52.3333,Hôtel Le Dronmi
303,Daru,PG,78.12,overcast clouds,-9.0763,143.2092,Daru Lodge
309,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
310,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
312,Saint-Louis,SN,77.0,clear sky,16.3333,-15.0,
313,Lahaina,US,80.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
316,Aripuana,BR,75.31,overcast clouds,-9.1667,-60.6333,
322,Jardim,BR,75.92,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
325,Port Hedland,AU,84.2,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
326,Kavieng,PG,83.07,light rain,-2.5744,150.7967,Nusa Island Retreat
347,Progreso,MX,77.0,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
350,San Rafael,AR,80.6,broken clouds,-34.6177,-68.3301,Hotel San Rafael
351,Sarangani,PH,81.46,broken clouds,5.4033,125.4636,Ballistic Islet
352,Bonfim,BR,83.84,overcast clouds,3.0833,-59.95,
354,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
359,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
360,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,Charlestown,AU,75.0,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
368,Pueblo Nuevo Solistahuacan,MX,80.6,scattered clouds,17.1,-92.8833,Cabañas el DIAMANTE
369,Inirida,CO,80.74,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
372,Puerto Leguizamo,CO,82.17,clear sky,-0.1934,-74.7819,la casona de juancho
376,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Hotel Cortez
379,Sao Luis,BR,80.6,scattered clouds,-2.5297,-44.3028,Green Hotel
380,Sao Jose Da Tapera,BR,77.47,overcast clouds,-9.5583,-37.3811,Pousada Felicia
392,Sao Filipe,CV,75.31,overcast clouds,14.8961,-24.4956,Tortuga B&B
398,Mitsamiouli,KM,82.92,light rain,-11.3847,43.2844,Foyer ADM
404,Tadine,NC,78.75,broken clouds,-21.55,167.8833,
405,Jizan,SA,75.2,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
409,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
412,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
413,Catarman,PH,75.11,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
415,Ambon,ID,84.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
416,Nanakuli,US,80.6,overcast clouds,21.3906,-158.1547,Camp Pālehua
419,Luba,GQ,78.8,few clouds,3.4568,8.5547,
421,Villa Union,MX,80.6,broken clouds,23.2,-106.2333,My Fantasy Auto-Hotel
427,Harper,LR,78.1,overcast clouds,4.375,-7.7169,Screensaver
433,Wamba,NG,75.6,clear sky,8.9333,8.6,Roma Zee Guest House Annex
434,Oranjestad,AW,78.8,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
445,Lazaro Cardenas,MX,83.53,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
456,Nelson Bay,AU,80.01,light rain,-32.7167,152.15,Mantra Nelson Bay
463,Porto Velho,BR,78.8,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
472,Tiarei,PF,84.2,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
476,Lethem,GY,83.25,broken clouds,3.3803,-59.7968,Savannah Inn
477,Poum,NC,80.87,clear sky,-20.2333,164.0167,Gîte kajeon
478,Labuhan,ID,77.38,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
482,Kudahuvadhoo,MV,80.85,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
483,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
488,Sri Aman,MY,75.2,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
489,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
493,Vieux Fort,LC,80.6,scattered clouds,13.7167,-60.95,QR Quality Rooms Cedar Palm Villa
499,Saint-Georges,GD,78.8,scattered clouds,12.0564,-61.7485,Siesta Hotel
507,Vao,NC,75.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
511,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
519,Sibut,CF,75.88,broken clouds,5.718,19.0739,
522,Kigorobya,UG,76.98,broken clouds,1.6162,31.3089,Palace guest house kigorobya
528,Ballina,AU,78.8,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
545,Tocache,PE,76.03,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
547,Iracoubo,GF,77.04,heavy intensity rain,5.4802,-53.2011,Le Gite D Iracoubo
556,Banda Aceh,ID,77.81,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
560,Maceio,BR,77.0,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
562,Matadi,CD,75.51,overcast clouds,-5.8167,13.45,Hotel Fortune
570,Fougamou,GA,75.24,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
574,Kununurra,AU,80.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
576,Vaitape,PF,80.58,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
579,Faanui,PF,80.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
581,Loanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
586,Maracaibo,VE,80.65,overcast clouds,10.6317,-71.6406,Motel Aladdin
591,Bima,ID,77.65,overcast clouds,-8.4667,118.7167,Lambitu Hotel
592,Sinnamary,GF,77.23,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
593,Wewak,PG,80.82,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
597,Carmen,MX,75.2,overcast clouds,18.6333,-91.8333,Hotel Lossandes
618,Sorong,ID,79.72,overcast clouds,-0.8833,131.25,The Waigo Hotel
620,Pundaguitan,PH,80.11,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
621,Paita,PE,76.69,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
627,Boa Vista,BR,86.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
628,Ankpa,NG,75.76,clear sky,7.3706,7.6253,AA Suites
631,Amboasary,MG,82.4,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
633,San Policarpo,PH,78.06,overcast clouds,12.1791,125.5072,JM Lodge
639,Cobija,BO,84.2,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
640,Mersing,MY,78.8,broken clouds,2.4312,103.8405,Timotel Hotel
644,Mumford,GH,79.32,overcast clouds,5.2618,-0.759,Spanish Villa
645,Alta Floresta,BR,78.8,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
646,Manakara,MG,75.76,clear sky,-22.1333,48.0167,La Residence Manakara
650,Samana,DO,75.2,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
658,Nisia Floresta,BR,80.6,few clouds,-6.0911,-35.2086,Rancho Crepusculo
659,Katobu,ID,76.71,overcast clouds,-4.9408,122.5276,La Ode Husein
660,Antalaha,MG,75.47,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
661,Sitangkai,PH,81.21,broken clouds,4.6628,119.3928,
665,Gladstone,AU,80.6,overcast clouds,-23.85,151.25,Highpoint International
669,Vangaindrano,MG,75.83,light rain,-23.35,47.6,Hotel Fanilo
670,Dolores,AR,78.46,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
672,San Juan,AR,89.15,broken clouds,-31.5375,-68.5364,Hotel Provincial
673,Bluefields,NI,80.6,scattered clouds,12.0137,-83.7635,Flamingo Hotel and Casino
687,Miandrivazo,MG,79.39,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
